,Title,Year,Director,Genres,P(Liked)
42,A Tale of Autumn,1998,Éric Rohmer,Drama|Romance,0.823
43,Twin Peaks,1989,David Lynch,Mystery|Drama|Thriller,0.818
44,Le Cercle Rouge,1970,Jean-Pierre Melville,Crime|Thriller,0.814
45,Pauline at the Beach,1983,Éric Rohmer,Drama|Romance|Comedy,0.808
46,Sans Soleil,1983,Chris Marker,Documentary,0.806
47,Terrorizers,1986,Edward Yang,Drama|Crime|Mystery|Thriller,0.794
48,BlacKkKlansman,2018,Spike Lee,Crime|Comedy|Drama|History,0.783
49,Straight Outta Compton,2015,F. Gary Gray,Drama|Music|History,0.78
50,Eraserhead,1977,David Lynch,Horror|Science Fiction,0.771
51,I Am Not a Witch,2017,Rungano Nyoni,Drama,0.767
52,N'Diangane,1975,Mahama Traoré,Drama,0.761
53,Je Tu Il Elle,1974,Chantal Akerman,Drama,0.759
54,The Man Who Sleeps,1974,Bernard Queysanne,Drama,0.755
55,Daisies,1966,Věra Chytilová,Comedy|Drama,0.753
56,Level Five,1997,Chris Marker,Documentary|War|Science Fiction,0.752
57,The Red Balloon,1956,Albert Lamorisse,Comedy|Drama|Family|Fantasy,0.751
58,"Toula, or the Genie of the Water",1973,Moustapha Alassane,Drama|Fantasy,0.751
59,The Boy and the Heron,2023,Hayao Miyazaki,Animation|Adventure|Fantasy|Drama|Family,0.751
60,Theorem,1968,Pier Paolo Pasolini,Mystery|Drama,0.746
61,Z,1969,Costa-Gavras,Thriller|Crime|Drama,0.746
62,The Round-Up,1966,Miklós Jancsó,Drama|History|War,0.745
63,Little by Little,1970,Jean Rouch,Comedy|Drama,0.745
64,The Passion of Joan of Arc,1928,Carl Theodor Dreyer,Drama|History,0.744
65,The Pianist,2002,Roman Polanski,Drama|War,0.743
66,The Golden Thread,1965,Ritwik Ghatak,Drama,0.742
67,Elevator to the Gallows,1958,Louis Malle,Crime|Drama|Thriller,0.742
68,Red Desert,1964,Michelangelo Antonioni,Drama,0.741
69,"Je T'Aime, Je T'Aime",1968,Alain Resnais,Drama|Science Fiction,0.741
70,Rashomon,1950,Akira Kurosawa,Crime|Drama|Mystery,0.741
71,Purple Noon,1960,René Clément,Crime|Drama|Thriller,0.74
72,My Little Loves,1974,Jean Eustache,Drama,0.74
73,25th Hour,2002,Spike Lee,Crime|Drama,0.74
74,Inside Man,2006,Spike Lee,Crime|Drama|Thriller,0.739
75,Autumn Sonata,1978,Ingmar Bergman,Drama,0.736
76,An Autumn Afternoon,1962,Yasujirō Ozu,Drama,0.735
77,Charulata,1964,Satyajit Ray,Drama|Romance,0.733
78,The Color of Pomegranates,1969,Sergei Parajanov,Drama|History,0.73
79,The Spirit of the Beehive,1973,Víctor Erice,Drama|Fantasy,0.73
80,The Holy Mountain,1973,Alejandro Jodorowsky,Drama,0.729
81,The Age of the Earth,1980,Glauber Rocha,Drama|Fantasy|History,0.729
82,Muna Moto,1975,Jean-Pierre Dikongué-Pipa,Drama|Romance,0.728
83,The Fire Within,1963,Louis Malle,Drama,0.727
84,Mandala,1971,Akio Jissoji,Drama,0.727
85,The Harder They Come,1972,Perry Henzell,Crime|Drama|Music,0.726
86,The Conformist,1970,Bernardo Bertolucci,Drama,0.726
87,Demons,1971,Toshio Matsumoto,Horror|Drama,0.726
88,Pastoral: To Die in the Country,1974,Shūji Terayama,Fantasy|Drama,0.725
89,The Gospel According to St. Matthew,1964,Pier Paolo Pasolini,Drama,0.725
90,In the Heat of the Night,1967,Norman Jewison,Crime|Drama|Mystery|Thriller,0.724
91,The Sicilian Clan,1969,Henri Verneuil,Crime|Drama,0.724
92,Rocky,1976,John G. Avildsen,Drama,0.723
93,Black Orpheus,1959,Marcel Camus,Drama|Romance,0.723
94,Hiroshima Mon Amour,1959,Alain Resnais,Drama|History|Romance,0.722
95,Letter from My Village,1976,Safi Faye,Drama|Documentary,0.721
96,Floating Weeds,1959,Yasujirō Ozu,Drama,0.721
97,Nights of Cabiria,1957,Federico Fellini,Drama,0.721
98,Top of the Heap,1972,Christopher St. John,Crime|Drama,0.721
99,The Battle of Algiers,1966,Gillo Pontecorvo,Drama|War|History,0.72
100,The Red and the White,1967,Miklós Jancsó,War|Drama,0.719
101,The Swimming Pool,1969,Jacques Deray,Drama|Thriller,0.717
102,God's Gift,1982,Gaston Kaboré,Drama,0.717
103,Quilombo,1984,Carlos Diegues,History|Drama,0.716
104,Mishima: A Life in Four Chapters,1985,Paul Schrader,Drama,0.716
105,The Ballad of Narayama,1958,Keisuke Kinoshita,Drama,0.715
106,Butch Cassidy and the Sundance Kid,1969,George Roy Hill,Adventure|Western|Crime|Drama|History,0.714
107,Edvard Munch,1974,Peter Watkins,TV Movie|History|Drama,0.714
108,The Ascent,1977,Larisa Shepitko,Drama|War|History,0.713
109,Black and White in Color,1976,Jean-Jacques Annaud,Drama|Comedy|War,0.713
110,Soul in the Eye,1973,Zózimo Bulbul,Drama|History,0.713
111,A Nation is Born,1961,Paulin Soumanou Vieyra,Documentary,0.713
112,The Night of the Hunter,1955,Charles Laughton,Crime|Drama|Thriller,0.712
113,Citizen Kane,1941,Orson Welles,Mystery|Drama,0.712
114,"Throw Away Your Books, Rally in the Streets",1971,Shūji Terayama,Drama,0.712
115,Africa on the Seine,1955,Paulin Soumanou Vieyra,Documentary,0.711
116,Yojimbo,1961,Akira Kurosawa,Drama|Thriller,0.71
117,"I, a Negro",1959,Jean Rouch,Documentary,0.709
118,Wild Strawberries,1957,Ingmar Bergman,Drama,0.709
119,Midnight Cowboy,1969,John Schlesinger,Drama,0.708
120,Sambizanga,1972,Sarah Maldoror,Drama,0.708
121,Persona,1966,Ingmar Bergman,Drama,0.707
122,The Mother and the Whore,1973,Jean Eustache,Drama|Romance,0.707
123,The Face of Another,1966,Hiroshi Teshigahara,Drama|Science Fiction,0.706
124,Bush Mama,1979,Haile Gerima,Drama,0.705
125,The Conversation,1974,Francis Ford Coppola,Crime|Drama|Mystery,0.705
126,La Notte,1961,Michelangelo Antonioni,Drama|Romance,0.705
127,Come and Work,1979,Safi Faye,Documentary,0.704
128,Agatha and the Limitless Readings,1981,Marguerite Duras,Drama|Romance,0.704
129,The Wind,1982,Souleymane Cissé,Drama,0.704
130,Siberiade,1979,Andrei Konchalovsky,War|Drama|History|Romance,0.703
131,"Aguirre, the Wrath of God",1972,Werner Herzog,History|Adventure|Drama,0.703
132,Bicycle Thieves,1948,Vittorio De Sica,Drama,0.703
133,The Seventh Seal,1957,Ingmar Bergman,Fantasy|Drama,0.703
134,PlayTime,1967,Jacques Tati,Comedy,0.702
135,La Région Centrale,1971,Michael Snow,Documentary,0.702
136,The Society of the Spectacle,1974,Guy Debord,Documentary,0.702
