letterboxd_title,letterboxd_year,rating,liked,tmdb_id,tmdb_title,genres,runtime,release_year,original_language,director,tmdb_vote_avg,tmdb_vote_count,tmdb_popularity,budget,imdb_rating,imdb_votes,rt_score,awards,country
Saint Omer,2022,3.0,0,925943,Saint Omer,Drama|Crime,123,2022,fr,Alice Diop,6.169,202,1.2584,0,6.8,5612,95,1,France
Blow Out,1981,3.5,1,11644,Blow Out,Crime|Mystery|Thriller,108,1981,en,Brian De Palma,7.365,1649,3.2574,18000000,7.4,74172,88,1,United States
A Taxi Driver,2017,2.0,0,437068,A Taxi Driver,Action|Drama|History,138,2017,ko,Jang Hoon,8.032,1142,5.6637,12820005,7.9,37112,97,1,South Korea
Emitaï,1971,4.5,1,128395,Emitaï,Drama,101,1973,wo,Ousmane Sembène,7.3,15,0.2467,0,7.1,588,,1,Senegal
Hyenas,1992,5.0,1,124085,Hyenas,Drama|Comedy,110,1992,wo,Djibril Diop Mambéty,7.1,35,0.6143,0,7.4,1401,91,1,Senegal
Memento,2000,3.0,0,77,Memento,Mystery|Thriller,113,2000,en,Christopher Nolan,8.2,16074,10.9818,9000000,8.4,1424930,93,1,United States
Lawrence of Arabia,1962,4.5,1,947,Lawrence of Arabia,Adventure|History|War,228,1962,en,David Lean,7.996,3380,6.4351,15000000,8.3,334419,93,1,United Kingdom
Nobody Knows,2004,3.5,1,2517,Nobody Knows,Drama,141,2004,ja,Hirokazu Kore-eda,8.0,628,4.38,0,8.0,35056,92,1,Japan
Once Upon a Time in Anatolia,2011,4.5,1,74879,Once Upon a Time in Anatolia,Drama|Crime,163,2011,tr,Nuri Bilge Ceylan,7.467,533,2.1038,0,7.8,52902,92,1,Turkey
The Piano Teacher,2001,2.0,0,1791,The Piano Teacher,Drama|Romance,131,2001,fr,Michael Haneke,7.3,1252,5.9627,6200000,7.5,78387,75,1,France
Thief,1981,3.5,1,11524,Thief,Crime|Thriller|Drama,123,1981,en,Michael Mann,7.21,816,4.2759,5500000,7.4,42015,80,1,United States
Full Metal Jacket,1987,3.0,0,600,Full Metal Jacket,Drama|War,117,1987,en,Stanley Kubrick,8.12,11339,9.0627,30000000,8.2,846327,90,1,United Kingdom
"Like Father, Like Son",2013,3.5,1,177945,"Like Father, Like Son",Drama,120,2013,ja,Hirokazu Kore-eda,7.697,791,4.835,0,7.8,30085,86,1,Japan
Souleymane's Story,2024,4.0,1,1158996,Souleymane's Story,Drama,94,2024,fr,Boris Lojkine,7.5,372,1.9287,0,7.7,2337,100,1,France
Kiki's Delivery Service,1989,3.5,1,16859,Kiki's Delivery Service,Animation|Family|Fantasy|Drama,103,1989,ja,Hayao Miyazaki,7.834,4516,13.279,6900000,7.8,185670,,1,Japan
Final Destination Bloodlines,2025,2.0,0,574475,Final Destination Bloodlines,Horror|Mystery,110,2025,en,Adam B. Stein,7.05,2754,21.1576,50000000,6.7,152230,92,1,United States
Solaris,1972,4.0,1,593,Solaris,Drama|Science Fiction|Mystery,167,1972,ru,Andrei Tarkovsky,7.771,1814,3.8712,0,7.9,104549,92,1,Soviet Union
The Night of Counting the Years,1969,4.0,1,46707,The Night of Counting the Years,Drama|History,102,1969,ar,Shadi Abdel Salam,7.7,58,0.634,0,,,,,
The Umbrellas of Cherbourg,1964,4.0,1,5967,The Umbrellas of Cherbourg,Drama|Romance,93,1964,fr,Jacques Demy,7.394,870,2.2241,200000,7.8,32696,97,1,France
Conclave,2024,3.0,0,974576,Conclave,Drama|Thriller,120,2024,en,Edward Berger,7.195,3311,10.1687,20000000,7.4,250327,93,1,United Kingdom
The Aviator's Wife,1981,4.5,1,27145,The Aviator's Wife,Drama|Comedy|Romance,106,1981,fr,Éric Rohmer,7.2,120,0.8882,0,7.5,5348,82,1,France
Boyfriends and Girlfriends,1987,4.0,1,64544,Boyfriends and Girlfriends,Romance|Drama|Comedy,103,1987,fr,Éric Rohmer,7.1,128,0.8862,0,7.5,5921,100,1,France
My Night at Maud's,1969,5.0,1,48831,My Night at Maud's,Romance|Comedy|Drama,110,1969,fr,Éric Rohmer,7.7,351,1.7538,0,7.8,14935,96,1,France
Day for Night,1973,4.5,1,1675,Day for Night,Comedy|Drama,116,1973,fr,François Truffaut,7.8,645,1.3715,700000,8.0,26029,98,1,France
Soundtrack to a Coup d'Etat,2024,4.0,1,1214539,Soundtrack to a Coup d'Etat,Documentary|History|Music,150,2024,fr,Johan Grimonprez,7.7,62,1.0292,0,7.8,3687,97,1,Belgium
Ford v Ferrari,2019,2.5,0,359724,Ford v Ferrari,Drama|Action|History,153,2019,en,James Mangold,8.005,8866,10.2015,97600000,8.1,553839,92,1,United States
Cure,1997,3.0,0,36095,Cure,Crime|Thriller|Horror|Mystery,111,1997,ja,Kiyoshi Kurosawa,7.531,761,7.9298,20000,7.5,36727,94,1,Japan
